BugId,Total,jaccard,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff
chart1,629,36,0.0572,34,0.0541,-2,-0.0032,629,36,0.0572,34,0.0541,-2,-0.0032,629,36,0.0572,34,0.0541,-2,-0.0032,629,36,0.0572,34,0.0541,-2,-0.0032
chart2,162,162,1.0000,162,1.0000,0,0.0000,162,162,1.0000,162,1.0000,0,0.0000,162,162,1.0000,162,1.0000,0,0.0000,162,162,1.0000,162,1.0000,0,0.0000
chart3,143,4,0.0280,8,0.0559,4,0.0280,143,4,0.0280,8,0.0559,4,0.0280,143,4,0.0280,8,0.0559,4,0.0280,143,4,0.0280,8,0.0559,4,0.0280
chart4,2371,2371,1.0000,2371,1.0000,0,0.0000,2371,2371,1.0000,2371,1.0000,0,0.0000,2371,2371,1.0000,2371,1.0000,0,0.0000,2371,2371,1.0000,2371,1.0000,0,0.0000
chart5,51,51,1.0000,51,1.0000,0,0.0000,51,51,1.0000,51,1.0000,0,0.0000,51,51,1.0000,51,1.0000,0,0.0000,51,51,1.0000,51,1.0000,0,0.0000
chart6,127,104,0.8189,104,0.8189,0,0.0000,127,104,0.8189,104,0.8189,0,0.0000,127,57,0.4488,57,0.4488,0,0.0000,127,57,0.4488,57,0.4488,0,0.0000
chart7,123,83,0.6748,78,0.6341,-5,-0.0407,123,83,0.6748,78,0.6341,-5,-0.0407,123,83,0.6748,78,0.6341,-5,-0.0407,123,83,0.6748,78,0.6341,-5,-0.0407
chart8,48,1,0.0208,1,0.0208,0,0.0000,48,1,0.0208,1,0.0208,0,0.0000,48,1,0.0208,1,0.0208,0,0.0000,48,1,0.0208,1,0.0208,0,0.0000
chart9,194,14,0.0722,12,0.0619,-2,-0.0103,194,14,0.0722,12,0.0619,-2,-0.0103,194,14,0.0722,12,0.0619,-2,-0.0103,194,14,0.0722,12,0.0619,-2,-0.0103
chart10,3,3,1.0000,1,0.3333,0,0.0000,3,3,1.0000,1,0.3333,0,0.0000,3,3,1.0000,1,0.3333,0,0.0000,3,3,1.0000,1,0.3333,0,0.0000
chart11,20,5,0.2500,17,0.8500,12,0.6000,20,5,0.2500,17,0.8500,12,0.6000,20,5,0.2500,17,0.8500,12,0.6000,20,5,0.2500,17,0.8500,12,0.6000
chart12,535,13,0.0243,26,0.0486,13,0.0243,535,13,0.0243,26,0.0486,13,0.0243,535,13,0.0243,26,0.0486,13,0.0243,535,13,0.0243,26,0.0486,13,0.0243
chart13,264,264,1.0000,264,1.0000,0,0.0000,264,264,1.0000,264,1.0000,0,0.0000,264,264,1.0000,264,1.0000,0,0.0000,264,264,1.0000,264,1.0000,0,0.0000
chart14,519,519,1.0000,519,1.0000,0,0.0000,519,519,1.0000,519,1.0000,0,0.0000,519,519,1.0000,519,1.0000,0,0.0000,519,519,1.0000,519,1.0000,0,0.0000
chart15,1120,1120,1.0000,1120,1.0000,0,0.0000,1120,1120,1.0000,1120,1.0000,0,0.0000,1120,1120,1.0000,1120,1.0000,0,0.0000,1120,1120,1.0000,1120,1.0000,0,0.0000
chart16,47,39,0.8298,39,0.8298,0,0.0000,47,5,0.1064,5,0.1064,0,0.0000,47,34,0.7234,35,0.7447,1,0.0213,47,39,0.8298,39,0.8298,0,0.0000
chart17,99,2,0.0202,2,0.0202,0,0.0000,99,2,0.0202,2,0.0202,0,0.0000,99,2,0.0202,2,0.0202,0,0.0000,99,2,0.0202,2,0.0202,0,0.0000
chart18,95,95,1.0000,95,1.0000,0,0.0000,95,95,1.0000,95,1.0000,0,0.0000,95,95,1.0000,95,1.0000,0,0.0000,95,95,1.0000,95,1.0000,0,0.0000
chart19,729,2,0.0027,5,0.0069,3,0.0041,729,2,0.0027,5,0.0069,3,0.0041,729,2,0.0027,5,0.0069,3,0.0041,729,2,0.0027,5,0.0069,3,0.0041
chart20,77,5,0.0649,6,0.0779,1,0.0130,77,5,0.0649,6,0.0779,1,0.0130,77,5,0.0649,6,0.0779,1,0.0130,77,5,0.0649,6,0.0779,1,0.0130
chart21,131,131,1.0000,131,1.0000,0,0.0000,131,131,1.0000,131,1.0000,0,0.0000,131,131,1.0000,131,1.0000,0,0.0000,131,131,1.0000,131,1.0000,0,0.0000
chart22,117,117,1.0000,117,1.0000,0,0.0000,117,117,1.0000,117,1.0000,0,0.0000,117,117,1.0000,117,1.0000,0,0.0000,117,117,1.0000,117,1.0000,0,0.0000
chart23,279,279,1.0000,279,1.0000,0,0.0000,279,279,1.0000,279,1.0000,0,0.0000,279,279,1.0000,279,1.0000,0,0.0000,279,279,1.0000,279,1.0000,0,0.0000
chart24,11,3,0.2727,1,0.0909,-2,-0.1818,11,3,0.2727,1,0.0909,-2,-0.1818,11,3,0.2727,1,0.0909,-2,-0.1818,11,3,0.2727,1,0.0909,-2,-0.1818
chart25,3364,3364,1.0000,3364,1.0000,0,0.0000,3364,3364,1.0000,3364,1.0000,0,0.0000,3364,3364,1.0000,3364,1.0000,0,0.0000,3364,3364,1.0000,3364,1.0000,0,0.0000
chart26,5586,5586,1.0000,5586,1.0000,0,0.0000,5586,5586,1.0000,5586,1.0000,0,0.0000,5586,5586,1.0000,5586,1.0000,0,0.0000,5586,5586,1.0000,5586,1.0000,0,0.0000
closure1,11614,11614,1.0000,11614,1.0000,0,0.0000,11614,11614,1.0000,11614,1.0000,0,0.0000,11614,11614,1.0000,11614,1.0000,0,0.0000,11614,11614,1.0000,11614,1.0000,0,0.0000
closure2,3861,3861,1.0000,3861,1.0000,0,0.0000,3861,3861,1.0000,3861,1.0000,0,0.0000,3861,3861,1.0000,3861,1.0000,0,0.0000,3861,3861,1.0000,3861,1.0000,0,0.0000
closure3,4632,4632,1.0000,4632,1.0000,0,0.0000,4632,4632,1.0000,4632,1.0000,0,0.0000,4632,4632,1.0000,4632,1.0000,0,0.0000,4632,4632,1.0000,4632,1.0000,0,0.0000
closure4,5225,5225,1.0000,5225,1.0000,0,0.0000,5225,5225,1.0000,5225,1.0000,0,0.0000,5225,5225,1.0000,5225,1.0000,0,0.0000,5225,5225,1.0000,5225,1.0000,0,0.0000
closure5,3590,3590,1.0000,3590,1.0000,0,0.0000,3590,3590,1.0000,3590,1.0000,0,0.0000,3590,3590,1.0000,3590,1.0000,0,0.0000,3590,3590,1.0000,3590,1.0000,0,0.0000
closure6,5377,5377,1.0000,5377,1.0000,0,0.0000,5377,5377,1.0000,5377,1.0000,0,0.0000,5377,5377,1.0000,5377,1.0000,0,0.0000,5377,5377,1.0000,5377,1.0000,0,0.0000
closure7,2254,2254,1.0000,2254,1.0000,0,0.0000,2254,2254,1.0000,2254,1.0000,0,0.0000,2254,2254,1.0000,2254,1.0000,0,0.0000,2254,2254,1.0000,2254,1.0000,0,0.0000
closure8,2961,2961,1.0000,2961,1.0000,0,0.0000,2961,2961,1.0000,2961,1.0000,0,0.0000,2961,2961,1.0000,2961,1.0000,0,0.0000,2961,2961,1.0000,2961,1.0000,0,0.0000
closure9,35,35,1.0000,35,1.0000,0,0.0000,35,35,1.0000,35,1.0000,0,0.0000,35,35,1.0000,35,1.0000,0,0.0000,35,35,1.0000,35,1.0000,0,0.0000
closure10,3035,140,0.0461,139,0.0458,-1,-0.0003,3035,140,0.0461,139,0.0458,-1,-0.0003,3035,140,0.0461,139,0.0458,-1,-0.0003,3035,140,0.0461,139,0.0458,-1,-0.0003
closure11,4896,771,0.1575,761,0.1554,-10,-0.0020,4896,771,0.1575,761,0.1554,-10,-0.0020,4896,698,0.1426,688,0.1405,-10,-0.0020,4896,698,0.1426,688,0.1405,-10,-0.0020
closure12,4558,1098,0.2409,1082,0.2374,-16,-0.0035,4558,1098,0.2409,1082,0.2374,-16,-0.0035,4558,1121,0.2459,1105,0.2424,-16,-0.0035,4558,1121,0.2459,1105,0.2424,-16,-0.0035
closure13,8138,5777,0.7099,5779,0.7101,2,0.0002,8138,5777,0.7099,5779,0.7101,2,0.0002,8138,5796,0.7122,5798,0.7125,2,0.0002,8138,5796,0.7122,5798,0.7125,2,0.0002
closure14,4947,4,0.0008,4,0.0008,0,0.0000,4947,5,0.0010,5,0.0010,0,0.0000,4947,3,0.0006,3,0.0006,0,0.0000,4947,1,0.0002,1,0.0002,0,0.0000
closure15,4118,4118,1.0000,4118,1.0000,0,0.0000,4118,4118,1.0000,4118,1.0000,0,0.0000,4118,4118,1.0000,4118,1.0000,0,0.0000,4118,4118,1.0000,4118,1.0000,0,0.0000
closure16,7454,7454,1.0000,7454,1.0000,0,0.0000,7454,7454,1.0000,7454,1.0000,0,0.0000,7454,7454,1.0000,7454,1.0000,0,0.0000,7454,7454,1.0000,7454,1.0000,0,0.0000
closure17,5051,5051,1.0000,5051,1.0000,0,0.0000,5051,5051,1.0000,5051,1.0000,0,0.0000,5051,5051,1.0000,5051,1.0000,0,0.0000,5051,5051,1.0000,5051,1.0000,0,0.0000
closure18,4622,2440,0.5279,2445,0.5290,5,0.0011,4622,2440,0.5279,2445,0.5290,5,0.0011,4622,2458,0.5318,2463,0.5329,5,0.0011,4622,2458,0.5318,2463,0.5329,5,0.0011
closure19,3867,3867,1.0000,3867,1.0000,0,0.0000,3867,3867,1.0000,3867,1.0000,0,0.0000,3867,3867,1.0000,3867,1.0000,0,0.0000,3867,3867,1.0000,3867,1.0000,0,0.0000
closure20,2944,2,0.0007,12,0.0041,10,0.0034,2944,2,0.0007,12,0.0041,10,0.0034,2944,2,0.0007,12,0.0041,10,0.0034,2944,2,0.0007,12,0.0041,10,0.0034
closure21,3217,3217,1.0000,3217,1.0000,0,0.0000,3217,3217,1.0000,3217,1.0000,0,0.0000,3217,3217,1.0000,3217,1.0000,0,0.0000,3217,3217,1.0000,3217,1.0000,0,0.0000
closure22,3217,3217,1.0000,3217,1.0000,0,0.0000,3217,3217,1.0000,3217,1.0000,0,0.0000,3217,3217,1.0000,3217,1.0000,0,0.0000,3217,3217,1.0000,3217,1.0000,0,0.0000
closure23,2441,2441,1.0000,2441,1.0000,0,0.0000,2441,2441,1.0000,2441,1.0000,0,0.0000,2441,2441,1.0000,2441,1.0000,0,0.0000,2441,2441,1.0000,2441,1.0000,0,0.0000
closure24,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000,2835,2835,1.0000,2835,1.0000,0,0.0000
closure25,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000,3941,3941,1.0000,3941,1.0000,0,0.0000
closure26,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000,8187,8187,1.0000,8187,1.0000,0,0.0000
closure27,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000,45,45,1.0000,45,1.0000,0,0.0000
closure28,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000,3838,3838,1.0000,3838,1.0000,0,0.0000
closure29,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000,9858,9858,1.0000,9858,1.0000,0,0.0000
closure30,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000,4243,4243,1.0000,4243,1.0000,0,0.0000
closure31,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000,3273,3273,1.0000,3273,1.0000,0,0.0000
closure32,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000,4305,4305,1.0000,4305,1.0000,0,0.0000
closure33,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000,5414,5414,1.0000,5414,1.0000,0,0.0000
closure34,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000,155,155,1.0000,155,1.0000,0,0.0000
closure35,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000,5255,5255,1.0000,5255,1.0000,0,0.0000
closure36,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000,9647,9647,1.0000,9647,1.0000,0,0.0000
closure37,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000,2295,2295,1.0000,2295,1.0000,0,0.0000
closure38,1405,53,0.0377,53,0.0377,0,0.0000,1405,53,0.0377,53,0.0377,0,0.0000,1405,53,0.0377,53,0.0377,0,0.0000,1405,53,0.0377,53,0.0377,0,0.0000
closure39,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013,766,12,0.0157,11,0.0144,-1,-0.0013
closure40,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000,5490,5490,1.0000,5490,1.0000,0,0.0000
closure41,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000,4913,4913,1.0000,4913,1.0000,0,0.0000
closure42,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000,1086,1086,1.0000,1086,1.0000,0,0.0000
closure43,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000,5250,5250,1.0000,5250,1.0000,0,0.0000
closure44,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000,1448,1448,1.0000,1448,1.0000,0,0.0000
closure45,3456,348,0.1007,347,0.1004,-1,-0.0003,3456,348,0.1007,347,0.1004,-1,-0.0003,3456,348,0.1007,347,0.1004,-1,-0.0003,3456,348,0.1007,347,0.1004,-1,-0.0003
closure46,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000,1063,1063,1.0000,1063,1.0000,0,0.0000
closure47,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000,4488,4488,1.0000,4488,1.0000,0,0.0000
closure48,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000,4724,4724,1.0000,4724,1.0000,0,0.0000
closure49,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000,5402,5402,1.0000,5402,1.0000,0,0.0000
closure50,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000,2789,2789,1.0000,2789,1.0000,0,0.0000
closure51,1369,54,0.0394,52,0.0380,-2,-0.0015,1369,54,0.0394,52,0.0380,-2,-0.0015,1369,54,0.0394,52,0.0380,-2,-0.0015,1369,54,0.0394,52,0.0380,-2,-0.0015
closure52,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000,1443,15,0.0104,15,0.0104,0,0.0000
closure53,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000,3179,3179,1.0000,3179,1.0000,0,0.0000
closure54,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000,5964,5964,1.0000,5964,1.0000,0,0.0000
closure55,2999,329,0.1097,319,0.1064,-10,-0.0033,2999,329,0.1097,319,0.1064,-10,-0.0033,2999,329,0.1097,319,0.1064,-10,-0.0033,2999,329,0.1097,319,0.1064,-10,-0.0033
closure56,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000,1189,1189,1.0000,1189,1.0000,0,0.0000
closure57,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016,1258,7,0.0056,5,0.0040,-2,-0.0016
closure58,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000,2469,2469,1.0000,2469,1.0000,0,0.0000
closure59,8676,8126,0.9366,8272,0.9534,146,0.0168,8676,8120,0.9359,8266,0.9527,146,0.0168,8676,8134,0.9375,8280,0.9544,146,0.0168,8676,8134,0.9375,8280,0.9544,146,0.0168
closure60,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000,7784,7784,1.0000,7784,1.0000,0,0.0000
closure61,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000,2541,2541,1.0000,2541,1.0000,0,0.0000
closure62,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000
closure63,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000,71,71,1.0000,71,1.0000,0,0.0000
closure64,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000,6036,6036,1.0000,6036,1.0000,0,0.0000
closure65,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000,1342,1,0.0007,1,0.0007,0,0.0000
closure66,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000,3396,3396,1.0000,3396,1.0000,0,0.0000
closure67,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000,3065,3065,1.0000,3065,1.0000,0,0.0000
